,Customer Id,Cost
0,fffe3400310033003300,237.41995
1,fffe3600350035003400,279.2791
2,fffe3700360030003500,206.02258
3,fffe350038003600,211.16205
4,fffe3500390032003500,340.48608
5,fffe3900360034003300,258.34564
6,fffe3200380034003700,210.20335
7,fffe3900370035003200,627.1292
8,fffe3100380039003200,381.00824
9,fffe3300330036003800,178.99774
10,fffe3600370030003400,1064.5326
11,fffe3500380034003200,193.07196
12,fffe370035003600,158.32019
13,fffe3100340039003800,278.06537
14,fffe340030003700,24254.89
15,fffe330038003700,247.50287
16,fffe3500300032003000,1292.194
17,fffe390038003700,133.47894
18,fffe3600390033003600,375.7468
19,fffe3300380036003100,852.47
20,fffe3200330032003100,120.653114
21,fffe3900300037003900,1693.9934
22,fffe3100350030003700,235.21707
23,fffe3700360035003100,8655.031
24,fffe350034003100,260.9721
25,fffe3400380039003700,207.02094
26,fffe3900320031003800,1109.9135
27,fffe3300360034003600,551.3521
28,fffe3500370037003500,178.60878
29,fffe34003500,419.2686
30,fffe3800370030003500,284.3453
31,fffe3300340035003800,220.24396
32,fffe3700380033003100,170.93535
33,fffe3200370034003600,158.83862
34,fffe3200370033003500,10919.74
35,fffe3100380039003700,134.57993
36,fffe3100310035003300,52640.527
37,fffe3100320031003700,248.84303
38,fffe3700390034003600,210.21066
39,fffe3200380033003000,191.42592
40,fffe3500320034003800,659.6172
41,fffe3900390034003300,372.82413
42,fffe3900350033003200,416.5773
43,fffe3300350033003900,503.66504
44,fffe3600330030003800,403.5729
45,fffe3600310032003000,186.22212
46,fffe3700340036003800,243.32167
47,fffe3800320037003500,217.27495
48,fffe3200330037003000,188.7128
49,fffe3100320035003500,148.8535
50,fffe3300370033003000,237.19873
51,fffe3900360030003300,287.69284
52,fffe3400340034003000,256.4715
53,fffe3800300035003300,6742.0107
54,fffe3700340035003900,880.0991
55,fffe3600340034003900,119.35162
56,fffe310030003500,131.64091
57,fffe3700310035003200,304.44867
58,fffe3100330033003900,205.96718
59,fffe3800330030003700,155.02129
60,fffe3900370033003100,164.31027
61,fffe3500330036003400,142431.2
62,fffe3700350036003200,1549.0314
63,fffe3500390037003700,147.54723
64,fffe3200340034003300,5330.5474
65,fffe3300350032003200,291.54358
66,fffe360034003500,193.05014
67,fffe3900390030003600,675.0278
68,fffe3400350034003000,13797.804
69,fffe3600360036003300,236.18172
70,fffe3800350030003100,564.09717
71,fffe3400300030003000,288.62277
72,fffe3200390037003600,501.88638
73,fffe3600350039003500,10660.185
74,fffe3300350038003600,336.25238
75,fffe3600350037003900,208.20068
76,fffe3200360035003900,157.71417
77,fffe3300360039003100,8919.149
78,fffe3400370030003300,2258.407
79,fffe3400300031003600,344.55975
80,fffe3900340034003000,248.88066
81,fffe3700350038003900,424.6188
82,fffe3300330032003800,167.17632
83,fffe370039003600,188.56177
84,fffe3400340036003300,221.78767
85,fffe3900360034003400,199.04823
86,fffe3900380037003700,2526.255
87,fffe3600360039003700,379.76596
88,fffe3600340031003600,286.39938
89,fffe3500370035003900,182.99063
90,fffe3700330037003400,3135.7417
91,fffe320037003400,513.9944
92,fffe3500310034003800,536.64716
93,fffe3700390039003200,2953.8108
94,fffe3900390038003600,367.89877
95,fffe3700380033003500,177.14761
96,fffe3700320036003800,4029.453
97,fffe3300360034003100,27144.3
98,fffe3700330038003400,563.189
99,fffe3800380033003400,222.00925
100,fffe3200390030003300,326.52048
101,fffe3900380035003200,310.01108
102,fffe3600340031003100,196.05424
103,fffe3200300036003200,2735.2473
104,fffe370039003400,209.37166
105,fffe3500390030003300,1561.7986
106,fffe3700350030003700,432.48376
107,fffe3100370035003500,129.35403
108,fffe3900390038003100,248.22679
109,fffe3300320031003900,856.11865
110,fffe3500300030003500,166.24474
111,fffe3800380031003200,227.41508
112,fffe3400390034003200,391.47217
113,fffe3200370037003200,108.36456
114,fffe370039003800,1198.5676
115,fffe3900360035003200,1463.8058
116,fffe3600370039003800,140.47919
117,fffe310037003900,16524.568
118,fffe3700360039003200,555.0014
119,fffe3700350035003200,198.36423
120,fffe3300350035003000,225.5811
121,fffe3400340034003900,592.25134
